data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-11-16,202547,1953.5,959,4560.0,309,0.0,16.012058,0,4,355030820254720418,2025-11-26,,0.71503127,1.220018E+7,17.39234,93.28816,0,0,2,80.98396,65.27278,19.9703,23.32406,83,,,,,1662982
2025-11-09,202546,2654.0,2333,3266.0,2081,0.022765497,21.753777,0,4,355030820254620418,2025-11-26,,0.94728744,1.220018E+7,14.2170714285714,95.8815857142857,0,0,2,81.5315571428571,61.5045857142857,17.6683,22.1718142857143,375,,,,,1662982
2025-11-02,202545,2846.0,2724,3111.0,2591,0.7098135,23.327524,0,4,355030820254520418,2025-11-26,,1.014817,1.220018E+7,17.2137142857143,96.0083428571429,0,0,2,84.5786714285714,66.7212857142857,20.3263,24.9537428571429,419,,,,,1662982
2025-10-26,202544,2837.0,2767,2953.0,2692,0.6426107,23.253756,0,4,355030820254420418,2025-11-26,,1.0097734,1.220018E+7,16.1499,95.2006857142857,0,0,2,83.9234571428571,64.0056428571429,19.3426571428571,24.0872428571429,440,,,,,1662982
2025-10-19,202543,2766.0,2721,2840.0,2675,0.30463526,22.671797,0,4,355030820254320418,2025-11-26,,0.98639756,1.220018E+7,11.7726857142857,93.5545,0,0,2,75.8572857142857,50.2896714285714,15.6332,20.8377142857143,379,,,,,1662982
2025-10-12,202542,2892.0,2865,2939.0,2835,0.969859,23.704569,0,4,355030820254220418,2025-11-26,,1.0512964,1.220018E+7,17.064,95.3860714285714,0,1,2,81.4031,59.6607857142857,20.4599428571429,25.3864714285714,323,,,,,1662982
2025-10-05,202541,2732.0,2711,2765.0,2697,0.86666673,22.393112,0,4,355030820254120418,2025-11-26,,1.0307429,1.220018E+7,15.7821857142857,90.3688428571429,0,0,2,78.8789714285714,62.1451,19.1309285714286,23.4717285714286,315,,,,,1662982
2025-09-28,202540,2986.0,2973,3006.0,2965,0.99999315,24.475048,0,4,355030820254020418,2025-11-26,,1.1228254,1.220018E+7,15.3609857142857,95.7328857142857,0,1,2,78.378,51.0713571428571,19.8208,25.8609714285714,397,,,,,1662982
2025-09-21,202539,2412.0,2404,2427.0,2401,4.2070176e-05,19.7702,0,4,355030820253920418,2025-11-26,,0.8957014,1.220018E+7,14.8478857142857,89.1310428571429,0,0,2,74.3116285714286,58.8314857142857,17.7459428571429,21.7512,325,,,,,1662982
2025-09-14,202538,2704.0,2700,2713.0,2700,0.91305256,22.163607,0,4,355030820253820418,2025-11-26,,1.0380306,1.220018E+7,14.5428,96.6390571428571,0,0,2,78.6879142857143,50.7736428571429,18.6171857142857,24.5030571428571,347,,,,,1662982
2025-09-07,202537,2810.0,2810,2810.0,2810,0.9999991,23.032448,0,4,355030820253720418,2025-11-26,,1.1408685,1.220018E+7,14.0277142857143,95.5419857142857,0,1,2,77.1300714285714,52.9726857142857,17.8039,23.1035285714286,411,,,,,1662982
2025-08-31,202536,2690.0,2690,2690.0,2690,0.99999756,22.048855,0,4,355030820253620418,2025-11-26,,1.137226,1.220018E+7,14.4707714285714,93.7453428571429,0,1,2,76.4517285714286,53.1881714285714,18.4325857142857,23.3995428571429,318,,,,,1662982
2025-08-24,202535,2315.0,2315,2315.0,2315,0.8694093,18.97513,0,4,355030820253520418,2025-11-26,,1.0338594,1.220018E+7,14.6110714285714,96.6113714285714,0,0,2,84.9786857142857,64.6835857142857,17.0658857142857,21.1179285714286,271,,,,,1662982
2025-08-17,202534,2511.0,2511,2511.0,2511,1.0,20.581663,0,4,355030820253420418,2025-11-26,,1.1857821,1.220018E+7,15.1005571428571,87.7852142857143,0,1,2,69.2010571428571,43.9516142857143,19.6411,25.9516285714286,336,,,,,1662982
2025-08-10,202533,2219.0,2219,2219.0,2219,0.97858953,18.188255,0,4,355030820253320418,2025-11-26,,1.0636939,1.220018E+7,9.65362857142857,95.7062285714286,0,1,2,81.1542857142857,57.8841714285714,13.0453857142857,17.8397714285714,301,,,,,1662982
2025-08-03,202532,2076.0,2076,2076.0,2076,0.17125179,17.016142,0,4,355030820253220418,2025-11-26,,0.9711783,1.220018E+7,12.0863,92.9582,0,0,2,77.2523428571428,52.4703285714286,15.8098285714286,20.5122571428571,326,,,,,1662982
2025-07-27,202531,2019.0,2019,2019.0,2019,0.0013527903,16.548937,0,4,355030820253120418,2025-11-26,,0.9118869,1.220018E+7,10.0329714285714,91.3491142857143,0,0,2,71.9230428571429,46.1065714285714,15.0700285714286,21.1178571428571,298,,,,,1662982
2025-07-20,202530,2193.0,2193,2193.0,2193,0.011389486,17.975145,0,4,355030820253020418,2025-11-26,,0.9346263,1.220018E+7,12.0526571428571,98.4337428571429,0,0,2,84.2703142857143,58.0095428571429,15.5643142857143,20.6521428571429,328,,,,,1662982
2025-07-13,202529,2172.0,2172,2172.0,2172,3.7235326e-11,17.803017,0,4,355030820252920418,2025-11-26,,0.82822055,1.220018E+7,10.3823428571429,92.7409285714286,0,0,2,75.5558857142857,49.0716428571429,14.7536714285714,20.1675428571429,377,,,,,1662982
2025-07-06,202528,2320.0,2320,2320.0,2320,0.0,19.016113,0,4,355030820252820418,2025-11-26,,0.74773735,1.220018E+7,10.8155428571429,98.8638714285714,0,0,2,85.7263857142857,59.8475285714286,13.9526285714286,18.5092142857143,373,,,,,1662982
2025-06-29,202527,2452.0,2452,2452.0,2452,0.0,20.098064,0,4,355030820252720418,2025-11-26,,0.64902097,1.220018E+7,12.2837714285714,96.6529,0,0,2,87.5771857142857,76.1660857142857,14.0966571428571,16.5229285714286,459,,,,,1662982
2025-06-22,202526,3087.0,3087,3087.0,3087,0.0,25.302906,0,4,355030820252620418,2025-11-26,,0.63707244,1.220018E+7,12.6269571428571,93.1455,0,0,2,78.1570571428571,55.8982142857143,16.1175857142857,21.3964428571429,533,,,,,1662982
